LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z253,49.2,12,212.5,0.7,30.17,38.67,77,103,30.92,10.4,2.56,1.8
Z254,53.67,16,197.3,0.73,29.05,56.83,85,129.7,27.44,8.93,2.98,2.23
Z255,58.58,14,179.5,0.86,29.85,48.5,87,129.3,27.28,8.7,3.04,2.13
Z256,67.01,15,181.3,0.75,35.1,46.5,81,122.7,26.74,9.71,3.01,2.1
Z257,75.28,15,205.3,0.84,31.35,41.17,85,120.3,28.28,9.64,2.79,2.17
Z258,59.97,17,157.4,0.74,32.9,55.83,84,123.7,27.56,9.35,3,1.93
Z259,59.36,16,149.7,0.83,31.4,43,80,116.7,26.46,10.04,2.69,1.83
Z260,51,17,121.7,0.78,34.75,46.33,82,116,26.92,10.69,2.81,1.77
Z261,65,16,183.2,0.78,30.95,45.5,82,122.3,28.54,9.52,2.89,1.97
Z262,47.53,16,155.8,0.78,28.32,50.17,84,130,28.4,10.12,2.6,1.9
Z263,50.82,15,153.7,0.85,30.58,51.83,87,128.7,28.58,8.61,3.16,2.03
Z264,45.85,12,171.9,0.79,31.47,44.67,85,129.7,28.28,10.27,2.65,1.9
Z265,62.07,20,128.2,0.85,32.47,40.67,86,127.7,24.78,8.7,3.24,2.13
Z266,47.58,14,143.4,0.89,28.9,50.17,88,117.7,23.92,8.94,2.96,2.17
Z267,44.8,12,179.1,0.78,29.03,55.33,86,127,27.02,8.89,2.97,2.1
Z268,56.26,14,179.9,0.85,28.85,45,84,126.3,27.2,8.59,3.06,1.87
Z269,62.19,14,205.6,0.81,28.35,41,72,121.7,27.7,10.2,2.52,1.8
Z270,58.52,12,208.4,0.79,32.2,55.67,82,131.3,32.92,10.51,2.71,1.87
Z271,52.06,11,195,0.88,30.18,63.33,84,130.7,31.1,10.72,2.62,1.73
Z272,53.51,10,311.7,0.64,30.08,48.17,84,133,30.68,8.82,2.99,2.27
Z273,40,11,184.2,0.8,28.35,46.5,82,123.7,27.3,8.47,3.14,2.07
Z274,40.55,10,192.5,0.75,31.65,49.67,86,126.3,30.24,9.82,2.76,2.07
Z275,48.93,12,190.5,0.76,29.35,48.33,88,129.3,28.32,8.49,3.06,2.5
Z276,56.82,17,142.4,0.72,35.17,45,84,118,28.66,10.08,2.84,1.97
Z277,46.55,11,181.9,0.77,32.63,52.67,81,127.3,28.68,8.91,3.24,2.13
Z278,41.29,12,135.3,0.75,36.08,39.33,79,126.3,29.96,10.33,3,2
Z279,37.69,13,147.6,0.76,28.65,51,79,122.7,27.18,9.18,2.87,1.87
Z280,46.26,9,210.2,0.88,29.33,53.33,85,124.7,28.44,8.63,2.98,2.17
Z281,42.21,12,179.3,0.73,28.98,49.83,81,122.3,29.38,8.81,2.89,2
Z282,38.82,12,140.4,0.8,32.23,50.67,81,120,26.64,9.81,2.88,1.9
Z283,46.73,13,186.2,0.71,29.93,57.5,84,120.3,28.66,9.95,2.65,2
Z284,44.81,12,165.8,0.74,33.82,42,80,128,29.82,9.9,2.96,2
Z285,41.24,10,176,0.77,33.93,41,85,127,31.54,10.29,2.84,2.07
Z286,53.02,17,132.7,0.83,31.3,45,78,115.3,26.16,9.95,2.83,1.93
Z287,55.52,21,157.7,0.7,26.22,38.83,79,116.7,27.52,8.82,2.82,1.93
Z288,46.85,13,172.8,0.78,27.48,44,86,117.7,30.12,9.37,2.65,1.87
Z289,49.98,11,201.8,0.83,29.15,40,86,122.3,30.22,9.82,2.67,1.97
Z290,56.43,13,216.7,0.73,29.32,42,87,116.7,29.02,8.96,2.96,2.17
Z291,51.83,12,231,0.68,29.32,48.83,86,113,29.22,8.88,2.98,2.03
Z292,30.27,12,122.6,0.74,31.42,45.67,79,119.3,26.1,10.1,2.68,1.9
Z293,22.34,8,158.6,0.55,32.7,45.67,84,122.7,27.34,10.32,2.69,2.1
Z294,46.68,12,186.2,0.76,29.37,53.67,87,121.7,27.4,9.18,2.89,2.03
Z295,35.25,15,160.1,0.59,28.42,44.83,84,120.3,26.7,9.84,2.64,1.77
Z296,43.09,15,163.9,0.64,30.32,42.67,79,121.7,27.9,10.24,2.64,2
Z297,52.84,14,167.9,0.74,32.25,42.83,79,119.7,29.4,10.52,2.68,2.07
Z298,52.04,15,156.3,0.79,31.25,38.83,78,124,28.84,10.7,2.76,1.97
Z299,44.67,10,197.1,0.84,28.92,54.67,85,124.3,29.42,8.96,2.94,2.1
Z300,39.3,15,126.9,0.65,34.63,37.33,77,123.7,28.42,10.78,2.82,2
Z301,45.8,11,175.3,0.75,34.82,46.17,86,120.7,33.04,10.7,2.82,2.1
Z302,38.73,15,126.6,0.76,30.45,41,81,122,29.4,10.31,2.65,1.97
Z303,56.26,15,175.8,0.69,33.1,45.33,84,118,28.54,10.37,2.84,1.97
Z304,41.17,11,176,0.75,30.82,44.83,81,120.3,32.88,10.46,2.66,2.03
Z305,42.56,10,193.5,0.78,30.98,40.67,79,118.3,28.56,10.26,2.74,2.2
Z306,50.24,12,177.6,0.84,30.63,53.33,81,137,29.48,10.48,2.63,1.73
Z307,44.84,15,157.1,0.74,30.57,49.67,86,118.3,28.12,10.11,2.69,1.83
Z308,40.9,16,139.8,0.69,29,36.33,85,120.3,26.78,9.54,2.71,1.9
Z309,45.49,13,144.9,0.8,32.1,43,84,117.3,28.18,9.07,3.07,2
Z310,44.66,15,161,0.69,30.28,39.33,84,118.7,26.78,9.65,2.86,1.9
Z311,39.74,11,179.5,0.7,31.03,56.33,82,118.7,26.8,8.93,3.07,2.03
Z312,56.79,16,174.4,0.75,30.12,48.33,77,117,26.88,9.81,2.83,1.77
Z313,57.4,17,140.3,0.78,33.8,35.67,76,114.3,26.24,10.03,2.92,1.9
Z314,41.41,18,112.6,0.77,29.12,35.17,77,116.7,24,9.55,2.72,1.73
Z315,58.44,16,132.8,0.92,32.05,41.67,85,121.7,27.66,9,3.02,2.03
Z316,50.94,14,173,0.79,28.17,39.83,79,118.7,27.5,10.01,2.62,1.8
Z317,55.94,17,125.3,0.88,31.95,42.17,80,121.3,26.74,9.03,3.07,1.87
Z318,38.74,18,133.4,0.56,30.23,31.67,75,114.7,24.04,9.77,2.68,1.87
Z319,46.47,12,159.8,0.77,36.12,40.83,85,125.3,26.58,10.92,2.85,1.93
Z320,41.55,13,147.5,0.75,32.22,35.33,86,125,27.88,10.42,2.7,1.83
Z321,39.87,16,128.6,0.7,31.05,44.33,81,125.3,29.3,9.76,2.77,1.9
Z322,45.06,17,160.5,0.56,31.27,52.33,85,117.3,25.48,10.29,2.65,1.83
Z323,33.77,11,157.5,0.65,33.7,44,81,127,29.04,10.9,2.77,1.73
Z324,51.16,15,186.4,0.64,31.62,42.67,84,120.7,28.26,10.16,2.78,1.83
Z325,54.91,13,197.2,0.79,28.88,37.67,81,122.7,29.76,8.94,2.92,1.97
Z326,45.16,14,169.6,0.66,31.63,40.67,86,113.3,28.9,10.2,2.86,1.77
Z327,61.13,13,226.4,0.75,28.57,43.67,88,115.7,31.94,8.86,2.94,2.07
Z328,35.11,12,128.8,0.84,28.37,43,87,118.7,26.42,9.51,2.57,1.77
Z329,44.01,11,190.7,0.78,29.35,37.33,78,124,28.36,9.81,2.73,1.8
Z330,64.74,14,199.9,0.8,31.78,42,80,120,25.8,9.77,2.76,2.1
Z331,53.93,12,176,0.79,35.1,38.67,75,116,26.78,9.7,3,1.97
Z332,47.68,14,158.6,0.82,29.12,37.67,73,110,27.2,10.16,2.6,1.8
Z333,63.03,14,189.4,0.86,31.72,37.5,81,118,27.84,9.94,2.79,1.97
Z334,61.18,20,154.2,0.7,31.17,39.07,79,119.3,29,9.82,2.7,1.93
Z335,33.87,13,152.5,0.56,32.25,36.33,73,108.3,28.58,10.23,2.73,1.9
Z336,47.69,16,162.7,0.78,26.7,44.67,88,123.3,26.8,8.54,2.8,1.93
Z337,60.54,19,160.5,0.77,28.18,41.67,80,115.7,28.94,9.93,2.59,1.57
Z338,65.26,17,187.9,0.72,30.4,38.83,85,118.7,28.32,9.59,2.73,1.97
Z339,54.82,16,146.8,0.79,31.05,39.33,78,110.7,24.94,9.71,2.75,1.7
Z340,45.44,13,170,0.77,31.63,44,85,120.3,28.68,9.62,2.74,1.97
Z341,50.13,14,161.5,0.76,32.22,46.67,85,119.3,27.34,10.29,2.71,1.5
Z342,61.41,19,143.2,0.79,31.93,45,85,125.3,26.3,9.36,2.93,1.9
Z343,56.78,17,170.5,0.84,26.05,35.33,85,119,25.66,9.1,2.56,1.67
Z344,49.89,16,144.4,0.74,32.18,42.33,79,116.7,28.42,10.54,2.62,1.73
Z345,47.46,14,141.7,0.84,32.38,45.83,81,122.7,26.54,9.59,2.88,1.8
Z346,63.12,19,133.1,0.78,34.93,42,84,117,27,10.78,2.71,1.73
Z347,43.88,16,152.3,0.7,28.73,35.67,85,120.3,26.64,9.66,2.64,1.5
Z348,45.4,12,159.9,0.78,33.58,41.5,78,118.3,27.16,10.25,2.84,1.77
Z349,56.58,15,172.3,0.77,31.18,46.67,84,119.3,29.32,9.03,2.93,1.97
Z350,43.14,13,153.2,0.75,32.05,40.67,89,117.7,26.56,10.22,2.67,1.7
Z351,46.2,11,211.2,0.72,30.28,48.83,87,114,29.16,9.51,2.9,1.73
Z352,46.28,10,194.2,0.86,29.68,38.33,81,120.3,27.84,8.74,2.94,1.73
Z353,65.14,13,202.8,0.86,30.32,38.17,81,116.3,27.7,8.9,2.98,1.67
Z354,48.05,12,148.2,0.93,29,36,75,111.3,27.92,8.63,2.89,1.77
Z355,47.47,11,205.3,0.81,27.78,46.33,84,124.7,25.66,8.63,2.94,2.03
Z356,44.45,13,177.2,0.74,27.82,38.67,87,119.3,29.56,9.07,2.83,1.9
Z357,43.6,16,136.5,0.76,29.02,37.67,85,122.3,29.14,9.57,2.64,1.73
Z358,45.15,14,133.4,0.84,30.93,41.67,79,117.7,24.68,9.48,2.96,1.9
Z359,53.99,14,155.2,0.86,32.4,34.67,79,119.7,24.5,9.45,2.9,1.7
Z360,58.48,20,120.3,0.85,30.85,36.33,77,117.7,26.46,9.55,2.8,1.6
Z361,43.1,12,144.8,0.75,36.8,41.67,84,116,27.2,10.58,2.88,1.67
Z362,35.28,11,166.2,0.68,31.18,42.67,79,121.3,30.76,10.42,2.66,1.83
Z363,43.25,15,143.2,0.78,28.78,38.83,78,128,27.32,9.71,2.64,1.83
Z364,47.17,10,187.6,0.79,33.08,41,80,110.7,30.22,9.85,2.9,1.83
Z365,65.89,17,143.3,0.83,34.95,46.67,79,117.3,27.84,9.66,3.03,1.6
Z366,50.86,14,185.5,0.79,27.83,44.33,84,123,29.02,9.6,2.67,1.73
Z367,45.14,12,173.2,0.86,25.78,39.17,87,117.7,26.96,9.51,2.51,1.83
Z368,59.95,11,221.3,0.77,35.22,40,81,124,27.62,9.77,2.98,1.87
Z369,52.99,19,148.2,0.73,26.38,42.67,84,123,29.56,9.11,2.73,1.57
Z370,36.09,13,151.8,0.62,31.65,39.33,81,126.3,27.02,10.3,2.74,1.77
Z371,39.98,13,188.9,0.6,29.6,45.67,85,117,25.8,9.83,2.72,1.93
Z372,46.39,12,176.8,0.77,30.63,36.33,84,126,23.48,9.76,2.71,2
Z373,52.07,14,199.8,0.8,24.63,34.67,86,114.7,25.92,8.35,2.76,1.9
Z374,39.49,13,177.3,0.73,23.83,29,61,99,24.66,9.99,2.38,1.93
Z375,31.76,10,159.3,0.89,23.02,29,64,101,23.9,9.65,2.33,1.9
Z376,37.76,11,154.4,0.9,26.12,28.33,62,98.7,23.66,8.66,2.69,1.57
Z377,36.18,12,166.9,0.72,28.07,36,86,121.3,24.24,8.75,2.84,1.93
Z378,39,13,155.8,0.75,28.67,37.33,84,123.7,26.38,9,2.91,1.9
Z379,40.41,13,153.9,0.84,27.57,38.67,84,126.7,25.66,8.57,2.94,2
Z380,38.61,10,219.5,0.76,24.63,39,77,121.3,26.56,8.21,2.76,1.93
Z381,45.58,12,154.3,0.89,29.4,32.67,81,122.3,27.92,9.21,2.87,1.9
Z382,52.26,18,147.6,0.82,26.62,36,80,115,22.5,8.69,2.82,1.8
Z383,62.01,18,175.2,0.76,26.87,31,90,117.7,23.84,9.34,2.51,1.87
Z384,33.66,15,153.3,0.53,29.42,39.33,75,114.3,26.88,9.77,2.67,1.8
Z385,49.31,14,171.9,0.72,30.5,45.67,84,123.7,28.1,9.15,2.94,1.97
Z386,52.25,12,218.7,0.84,25.52,37.67,85,126.7,27.62,8.37,2.82,1.7
Z387,51.74,13,207.5,0.67,29.3,37.33,76,114,29.96,9.74,2.74,1.67
Z388,35.5,12,181.3,0.63,27.3,26,60,94.3,23.78,8.54,3,1.83
Z389,58.77,11,220.4,0.87,29.23,37.33,79,120.3,27.6,9.52,2.9,2.23
Z390,51.3,12,168,0.86,31.53,34.67,75,122,27.88,9.17,3.21,2.03
Z391,49.97,13,193.1,0.77,28.32,46.33,85,116.7,27.82,10.18,2.54,1.83
Z392,38.06,16,134.9,0.73,27.48,34.33,77,117,25.12,8.59,2.91,1.93
Z393,36.2,12,158.6,0.76,26.62,37.33,74,117,26.12,9.31,2.56,1.77
Z394,38.24,14,178.4,0.66,25.28,34,74,115,26.22,9.29,2.57,1.77
Z395,31.3,14,117.7,0.86,23.57,28.67,89,112.7,23.16,7.54,2.93,1.63
Z396,55.69,16,179.8,0.8,25.8,38,74,119.7,29.18,9.28,2.52,1.8
Z397,46.17,12,168,0.86,27.82,33.67,89,110,20.66,6.99,3.25,2.07
Z398,32.03,10,192.9,0.75,24.93,40.33,88,123.3,27.86,9.42,2.4,2.2
Z399,23.48,10,175.5,0.53,27.5,41.33,91,113,26.66,9.82,2.56,2.07
Z400,44.19,13,211.1,0.64,27.4,38,93,115.7,23.68,9.4,2.62,1.9
Z401,64.27,17,247.7,0.66,24.75,39.33,87,126.7,25.3,9.46,2.52,1.8
Z402,50.35,18,166.2,0.72,25.75,41,75,108,24.2,9.34,2.5,1.9
Z403,42.78,13,184.5,0.77,25.28,39,73,114.3,26.38,9.58,2.48,1.83
Z404,52.85,14,195.8,0.8,28.22,41,90,124.3,26.32,9.72,2.51,1.83
Z405,59.82,14,207.4,0.73,29.97,46.33,84,125,27.62,9.84,2.67,1.97
Z406,52.38,12,217.5,0.82,27,41.33,92,126.7,24.42,9.51,2.52,1.8
Z407,37.03,14,174.4,0.52,31.32,40.67,84,126,27.88,10.15,2.79,2.13
Z408,63.5,16,178.7,0.8,29.73,49,87,124.7,28.64,10.25,2.66,1.87
Z409,42.54,12,209.2,0.79,22.93,39,62,112.7,26.1,9.06,2.58,1.47
Z410,46.41,15,165.5,0.78,24.73,38.33,74,105,24.6,9.45,2.5,1.47
Z411,35.26,11,157.5,0.9,24.17,31.67,59,100.3,23.98,9,2.57,1.93
Z412,41.47,15,146.1,0.65,31.75,31.33,71,120.3,25.74,9.82,2.76,1.6
Z413,49.78,18,125.9,0.81,29.03,42.67,79,120,29.86,10.45,2.6,1.57
Z414,31.08,16,107.4,0.86,22.77,24.33,63,102.3,23.4,9.98,2.3,1.47
Z415,60.44,11,217.2,0.88,30.45,43.67,85,117.7,28.82,9.02,2.95,2.13
Z416,49.24,15,206.7,0.73,23.55,42.33,81,110.3,27.5,8.76,2.56,2.07
Z417,73.63,20,186.9,0.78,27.15,44.33,79,118,25.88,8.8,2.74,1.9
Z418,55.52,21,139.2,0.79,26.5,39.33,75,106.7,26.32,9.86,2.37,1.63
Z419,51.76,11,200.4,0.88,28.45,37.33,78,111.7,27.92,10.22,2.52,1.77
Z420,36.22,17,133.6,0.78,22.08,30,67,102,24.74,10.03,2.44,1.63
Z421,47.73,15,170.1,0.77,26.93,23.67,65,104,25.04,10.01,2.52,1.43
Z422,49.65,13,166.2,0.83,29.73,28.67,67,106,25.2,9.92,2.8,1.6
Z423,44.6,14,170.6,0.76,26.6,33,66,117,25.74,10.23,2.53,1.57
Z424,35.54,15,157,0.68,24.32,32.33,67,111,27.5,10.33,2.34,1.5
Z425,54.02,16,174.6,0.72,28.85,44,86,116.3,28.2,9.85,2.62,2
Z426,44.58,18,124.7,0.84,25.47,27.67,72,114,25.54,10.17,2.33,1.4
Z427,43.04,15,120.5,0.76,33.42,40.67,84,122,27.34,10.83,2.62,1.77
Z428,49.77,17,176.5,0.74,24.13,35.67,63,107.3,25.62,9.01,2.55,1.6
Z429,32.25,11,161.8,0.86,22.05,23.33,65,112.3,23.2,8.97,2.39,1.47
Z430,63.43,18,158.4,0.77,29.58,32.67,78,111,25.34,9.8,2.55,1.93
Z431,35.98,16,147.6,0.66,23.87,44.67,79,117,24.7,9.63,2.39,1.6
Z432,36.71,12,146.2,0.87,25.25,32.33,64,113,24.74,9.32,2.52,1.6
Z433,43.54,12,178.3,0.82,26.05,38,75,109.3,26.36,9.36,2.35,1.97
Z434,50.58,17,149.8,0.8,25.07,28.33,59,99.7,23.9,8.68,2.55,1.67
Z435,56.44,15,169.9,0.86,28.33,49.33,81,122.7,25.98,8.91,2.79,1.9
Z436,46.18,13,204.6,0.71,27.37,51,80,119.7,27.36,9.71,2.55,1.8
Z437,44.93,13,153.4,0.77,32,39.33,84,127.7,26.98,9.52,2.91,1.77
Z438,50.86,11,183.8,0.88,31.08,49.33,84,124.3,30.46,10.55,2.62,1.63
Z439,48.17,15,139.5,0.91,26.37,40.33,74,118.3,25.54,9.6,2.5,1.93
Z440,62.27,16,152.2,0.83,32.97,40.67,79,114.7,28.18,10.86,2.78,1.73
Z441,55.63,13,173.8,0.87,30.67,46.33,81,128.3,27.88,10.65,2.56,1.6
Z442,39.73,20,143.2,0.62,24.45,30.67,68,106.7,24.24,9.69,2.48,1.43
Z443,55.22,16,181.7,0.8,25.05,41.33,78,114,24.8,9.45,2.48,2
Z444,59.54,14,191.9,0.86,27.58,50.33,84,127,30.98,9.74,2.58,2.1
Z445,34.3,16,134,0.64,27.47,26.33,65,108.3,22.98,9.01,2.82,1.43
Z446,65.59,15,225.3,0.78,25.47,45.67,84,111.3,27.32,9.48,2.47,1.6
Z447,50.33,19,160.8,0.67,26,37.67,76,102,25.94,9.72,2.5,1.37
Z448,39.45,13,178.5,0.74,23.68,28.67,60,97.7,25.24,9.65,2.39,1.87
Z449,18.25,7,153.4,0.74,24.22,25.33,57,90.3,24.38,9.57,2.45,1.8
Z450,65.42,14,220.5,0.77,29.18,47,84,123.3,30.54,10.13,2.57,2.07
Z451,34.26,14,183.4,0.61,24.12,39,66,105.7,25.9,9.77,2.41,1.77
Z452,42.6,12,214.3,0.72,24.58,40.33,77,117.3,22.94,8.06,2.77,1.67
Z453,67.28,15,187.4,0.86,30.27,51.33,86,115,29.26,9.85,2.68,1.87
Z454,44.09,9,227,0.83,27.97,49.67,85,129.7,28.88,9.8,2.6,2.23
Z455,41.2,16,168.7,0.67,24.7,45.67,75,116.7,27.6,9.53,2.42,1.67
Z456,43.56,11,195.7,0.78,27.97,31.33,70,123.3,24.38,9.34,2.7,1.83
Z458,62.55,15,172.1,0.84,32.25,43.67,81,113,26.1,10.37,2.82,1.67
Z459,73.53,16,194.9,0.79,32,44.67,79,115.7,26.2,10.57,2.84,1.8
Z460,58.41,13,178,0.95,27.1,47.67,75,113.7,25.46,9.58,2.63,1.8
Z461,48.42,17,161.8,0.73,25.33,27.67,65,95.3,23.76,9.74,2.47,1.63
Z462,56.24,16,157.9,0.8,28.62,44.67,78,116.3,28.92,9.88,2.56,1.8
Z463,34.89,14,142.6,0.71,26.23,25.33,60,92.7,24.74,9.96,2.47,1.43
Z464,51.41,17,166.3,0.75,24.43,33.67,63,101,27.02,9.18,2.49,1.47
Z465,62.55,11,253.6,0.81,29.82,36.67,85,121.3,31.16,8.86,3.01,2.03
Z466,47.81,16,135.3,0.85,27.17,28.33,58,96,23.4,9.66,2.53,1.53
Z467,59.73,23,155.4,0.73,23.43,35.33,60,97.7,27.38,9.08,2.42,1.4
Z468,64.81,16,175.4,0.78,30.47,37.67,72,101,27.68,10.32,2.65,1.43
Z469,44.9,15,173,0.72,26.88,38.67,79,129.3,27.8,9.48,2.56,1.87
Z470,51.67,13,204.5,0.69,30.5,39.67,86,138.7,27.52,9.86,2.65,2
Z471,45.19,17,129.5,0.89,25.35,32.33,73,115.7,22.06,9.41,2.48,1.9
Z472,36.35,14,174.9,0.6,25.1,29,68,113.7,24.7,9.91,2.45,1.83
Z473,55.26,15,145.1,0.89,30.33,45.67,80,119.7,27.28,9.55,2.64,1.8
Z474,34.07,14,157.1,0.71,22.35,22.33,57,96.7,23.14,9.11,2.36,1.5
Z475,57.71,13,206,0.78,29.47,46.33,77,115.7,29.02,9.78,2.61,1.97
Z476,48.04,21,148.2,0.64,26.57,38.33,76,119.7,26.24,9.47,2.69,1.93
Z477,38.71,10,197.3,0.66,31.3,46.33,78,109.3,26.46,10,2.67,1.93
Z478,43.68,14,176.4,0.75,25.05,29,66,110.7,24.52,9.24,2.46,1.8
Z479,48.5,15,135.7,0.79,31.9,44.67,79,117.7,24.62,10.28,2.69,1.83
Z480,58.84,14,200.6,0.77,29.02,45.33,80,122,28.66,8.84,2.98,2.37
Z481,49.61,12,171.9,0.91,28.13,48.33,80,115.3,28.32,9.86,2.53,1.8
Z482,40.71,15,139.1,0.78,26.12,23.67,56,100.3,24.16,9.68,2.51,1.43
Z483,38.59,13,165.2,0.73,25.47,25.67,63,104.3,23.62,9.23,2.47,1.67
Z484,48.44,14,166.6,0.77,28.18,47,78,126.3,27.96,10.02,2.54,1.9
Z485,42.61,12,160.6,0.79,29.23,41.33,86,123,27.72,10.14,2.53,2
Z486,57.84,17,154.8,0.76,31.93,44.33,85,122.7,29.1,10.53,2.71,1.9
Z487,41.17,12,199.6,0.66,28.67,38.67,79,117.7,26.74,10.23,2.63,2.03
Z488,42.19,19,142.4,0.69,24.68,33,72,117.3,23.24,9.33,2.43,1.7
Z489,52.13,18,165.5,0.76,24.63,30,63,105,24.46,9.12,2.52,1.47
Z490,28.48,15,157,0.52,24.68,29.67,62,103.3,26.08,10.18,2.38,1.63
Z491,49.57,18,138.8,0.79,26.4,35.33,74,118,24.42,9.36,2.53,1.9
Z492,49.39,19,123.9,0.84,26.58,39.67,84,117.7,27.86,9,2.69,1.8
Z493,42.2,18,134,0.72,25.52,34,73,107.3,26.46,9.67,2.46,1.47
Z494,54.32,25,131.2,0.72,24.78,41,75,103.7,25.46,9.84,2.33,1.4
Z496,64.94,18,154.7,0.87,29.53,43.33,78,111.3,27.12,8.97,2.91,2.03
Z497,44.22,15,151.3,0.79,26.07,50,75,114.3,26.4,9.65,2.57,1.7
Z498,53.07,15,144.9,0.82,32.35,47.67,80,116,27.6,9.94,2.71,1.87
Z499,43.22,14,157.7,0.72,29.05,40.33,77,113.7,26.26,9.36,2.75,1.9
