LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z301,40.99,14,130.64,0.78,30,97,94.7,19.9,9.353,2.643
Z302,32.43,11,105.18,0.91,32.42,94,91.7,21.92,9.665,2.683
Z303,30.24,10,111.1,0.81,34.87,93,91,22.56,9.885,2.827
Z304,41.73,11,124.64,0.96,32.45,89,96.3,22.84,9.718,2.656
Z305,40.33,10,133.2,0.93,33.45,88,89.3,20.38,9.649,2.711
Z306,37.64,8,149.63,0.96,33.35,91,105,23.54,9.87,2.623
Z307,33.37,9,131.56,0.87,34.18,92,95.3,23.62,9.469,2.771
Z308,47.12,12,126.67,0.96,33.35,83,90.7,21.84,9.008,2.801
Z309,32.52,9,121.44,0.91,33.93,92,98.7,21.76,8.382,3.114
Z310,44.33,12,134.5,0.9,32.52,94,105.7,22.42,9.044,2.876
Z311,55.38,12,170.17,0.88,32,91,107,25.1,8.162,3.044
Z312,69.13,19,126.21,0.92,32.95,87,95.7,22.96,9.395,2.792
Z313,75.94,18,137.67,0.91,35.13,87,99,23.68,9.245,2.845
Z314,42.15,18,112.89,0.77,29.37,82,80,23.48,8.972,2.619
Z315,61.43,14,141.21,0.94,34.7,94,104.7,25.6,8.381,3.132
Z316,36.88,14,128.07,0.81,27.62,90,101,24.24,8.839,2.582
Z317,50.51,12,143.33,0.89,33.95,95,104.3,25.98,8.306,3.183
Z318,37.6,17,120.29,0.8,30.97,82,81.7,20.32,9.2,2.624
Z319,48.16,13,126.77,0.89,35.57,90,100.3,22.9,9.724,2.735
Z320,31.81,14,96.14,0.77,32.53,94,99,22.04,9.66,2.667
Z321,53.47,15,124.27,0.92,33.53,84,92,21.14,9.041,2.875
Z322,74.11,17,142.59,0.92,36.02,95,101.7,23.56,9.784,2.75
Z323,41.79,13,109.92,0.88,36.05,91,100.7,23.1,10.217,2.746
Z324,35.12,10,120.7,0.92,34,90,92,22.18,9.446,2.708
Z325,47.92,9,193.78,0.96,29.33,91,98.3,25.36,8.274,2.845
Z326,51.2,14,130.79,0.9,34.12,91,95,21.68,9.572,2.82
Z327,44.83,12,139.58,0.93,30.3,90,93,24.46,8.478,2.926
Z328,47.06,15,110.2,0.95,30.97,90,91.3,22.82,9.151,2.667
Z329,48,11,163.91,0.93,29.62,88,97.3,22.16,9.158,2.605
Z330,56.35,15,127.67,0.94,33.08,93,98,23.06,9.084,2.771
Z331,58.07,17,141,0.9,28.02,85,100,19.72,8.045,2.826
Z332,61.63,15,157.8,0.89,30.63,88,90.7,24.68,9.425,2.562
Z333,40.23,10,140.7,0.95,32.12,88,95.3,21.42,9.091,2.799
Z334,43.55,14,120.21,0.86,33.42,90,98.3,25.12,9.167,2.795
Z335,37.79,11,106.09,0.93,37.13,89,95.3,23.38,9.899,2.866
Z336,49.79,11,193,0.88,27.25,83,97,24.24,7.938,2.838
Z337,40.7,13,133.38,0.81,30,86,89.3,23.46,9.065,2.638
Z338,53.23,14,133.93,0.93,31.68,89,93.7,21.9,9.046,2.763
Z339,39.19,10,141.5,0.89,31.92,87,92.3,21.7,9.088,2.763
Z340,43.02,12,133.67,0.89,33.03,87,96,22.62,8.988,2.804
Z341,39.49,11,124.55,0.91,34,95,96,23.68,9.502,2.702
Z342,35.01,9,127.67,0.97,33.43,87,102.3,24.1,8.883,2.982
Z343,34.69,8,188.25,0.91,27.33,91,95.3,21.36,8.545,2.685
Z344,48.52,11,142.64,0.95,33.15,84,95.7,23.26,9.741,2.67
Z345,36.98,9,157.44,0.91,32.5,97,97,25.54,8.972,2.98
Z346,56.05,14,133.5,0.93,34.18,92,94,23.48,9.594,2.728
Z347,57.33,14,157.29,0.89,30.98,93,98.5,23.02,8.753,2.759
Z348,42.74,6,270.83,0.87,32.18,94,99.3,22.5,9.396,2.787
Z349,46.39,11,163.18,0.85,30.93,96,106,22.74,8.386,2.884
Z350,51.93,11,163.36,0.92,33.25,94,94,24.44,9.527,2.719
Z351,48.22,11,169.09,0.9,29.52,92,98.3,23.92,8.701,2.819
Z352,49.19,11,153.27,0.92,32.93,95,105.7,25.48,9.481,2.745
Z353,43.14,12,132.58,0.92,30.87,94,102.3,24.22,8.349,3.024
Z354,35.59,10,130.4,0.96,29.57,87,95,23.4,8.157,2.912
Z355,42.74,9,161.78,0.96,30.65,85,101.7,20.84,8.359,2.937
Z356,19.24,7,113.14,0.88,29.13,85,99.3,23.5,8.479,2.823
Z357,38.2,10,145.7,0.89,32,85,94.7,23.88,9.093,2.761
Z358,56.64,14,142.29,0.89,33.43,99,109,25.26,8.986,2.912
Z359,38.92,10,127,0.95,33.5,87,97.7,23.1,8.736,2.805
Z360,40.1,9,152.56,0.96,31.43,83,97,23.82,8.996,2.723
Z361,47.57,11,138.09,0.92,35.5,92,102,23.98,9.584,2.872
Z362,41.91,9,150.67,0.93,35.45,91,102.3,25.74,9.976,2.779
Z363,47.54,11,162.82,0.92,31.03,82,95,23.96,9.09,2.772
Z364,25.36,6,129.67,0.9,38.25,79,92.7,22.37,9.727,3.086
Z365,35.46,9,135,0.9,32.63,87,96,24.08,8.767,2.949
Z366,40.32,8,177.13,0.95,30.92,90,103.3,25.36,9.411,2.735
Z367,33.47,11,146,0.85,26.83,82,87.3,22.28,9.288,2.462
Z368,37.65,8,150.5,0.92,35.37,92,98.3,23.08,9.101,2.977
Z369,28.63,9,122.22,0.98,27.23,88,95,23.72,8.449,2.675
Z370,30.48,10,116.8,0.86,32.95,88,96.3,21.8,9.397,2.707
Z371,48.07,11,164.18,0.89,32.05,92,96.7,21.02,9.049,2.783
Z372,30.01,8,145.88,0.93,31.2,89,94.7,20.58,9.122,2.741
Z373,76.64,18,180.17,0.94,25.98,97,102.3,23.6,7.726,2.769
Z374,21.36,11,108.09,0.69,26.03,71,71,18.88,9.079,2.443
Z375,25.79,12,118.58,0.71,26.62,71,74,19.22,9.357,2.336
Z376,31.3,11,115.73,0.92,28.08,70,68.7,17.92,8.333,2.69
Z377,27.02,10,96.5,0.94,30.57,97,99.7,23.84,8.305,2.875
Z378,42.58,12,126.67,0.95,29.95,91,97,22.4,8.217,2.896
Z379,43.01,11,147.55,0.96,28.53,85,92.3,22.8,8.154,2.95
Z380,26.92,8,147.25,0.91,25.9,83,90.3,23.06,7.557,2.729
Z381,35.87,13,98.23,0.95,30.03,99,99.3,22,8.501,2.871
Z382,32.37,11,126.73,0.91,28.28,83,86,19.8,8.416,2.774
Z383,35.08,11,129.36,0.89,29.73,96,91,19.98,8.588,2.451
Z384,46.23,14,139.07,0.8,31.47,82,85,23.06,9.099,2.744
Z385,58.94,15,134.4,0.97,30.83,95,103.7,24.62,8.264,2.922
Z386,43.13,13,131.62,0.96,26.95,92,97.7,21.46,7.815,2.799
Z387,38.19,11,166.55,0.71,32.53,87,83,24.74,9.416,2.717
Z388,34,12,132.42,0.76,29.4,73,71,19.14,8.042,2.926
Z389,38.14,10,163.5,0.87,27.93,95,98,23.2,8.744,2.841
Z390,77.27,18,146.83,0.93,32.5,88,109,24.64,8.761,3.195
Z391,29.79,7,154.86,0.89,31.37,100,99.7,22.3,9.574,2.655
Z392,20.12,7,124.71,0.87,27.45,81,78,21.98,8.06,2.856
Z393,25.07,8,130.13,0.89,28.08,78,76,22.46,8.9,2.517
Z394,34.09,11,129.27,0.87,27.83,78,74,21.7,8.803,2.559
Z395,26.33,10,109.2,0.94,26.12,80,79.7,18.46,7.309,3.004
Z396,33.41,11,118.55,0.95,27.9,78,79.7,22.48,8.947,2.52
Z397,30.02,11,112.45,0.91,27.07,72,71.3,16.24,6.92,3.323
Z398,30.63,9,147.56,0.92,27.43,95,102.7,22.02,8.819,2.528
Z399,27.3,8,128.13,0.91,31.48,96,88.3,20.4,9.303,2.674
Z400,33.34,10,129.7,0.89,30,96,89,20.76,9.127,2.618
Z401,30.44,7,195.71,0.96,24.15,95,92.7,21.52,8.126,2.497
Z402,23.86,7,148.29,0.91,28.23,77,73.3,19.96,8.924,2.604
Z403,43.77,13,138.54,0.92,27.12,77,79.3,21,8.849,2.497
Z404,51.79,11,171.27,0.94,30.88,96,92.3,20.7,8.986,2.641
Z405,30.89,10,132.6,0.72,32.57,90,92,21.62,9.192,2.716
Z406,32.7,10,120.2,0.94,30.07,97,89.3,19.34,8.864,2.62
Z407,32.53,9,132.89,0.83,34.18,95,99,23.28,9.912,2.834
Z408,36.93,9,145.11,0.96,31.45,94,96,22.48,9.57,2.644
Z409,22.8,7,123.86,0.98,27.93,70,75.3,22.33,8.78,2.545
Z410,33.03,12,147.5,0.71,27.75,72,71.7,20.88,9.036,2.466
Z411,59.49,18,125.94,0.93,29.48,74,83,22.86,8.196,2.888
Z412,29.07,10,105.4,0.86,34.4,81,72.3,20.48,9.468,2.826
Z413,31.6,11,120,0.81,32.95,101,95,24.66,9.879,2.68
Z414,12.55,8,95.13,0.59,28.15,72,68.7,20.06,9.384,2.437
Z415,27.62,7,137.14,0.93,32.03,98,93.7,24.26,8.415,2.98
Z416,31.42,12,136.92,0.77,26.55,93,85,20.26,8.418,2.569
Z417,21.58,9,95.56,0.92,28.62,88,78.3,19.86,8.222,2.692
Z418,21.4,9,115.67,0.8,26.78,78,67,21.06,9.244,2.337
Z419,31.28,10,122.2,0.93,29.42,85,79.3,23.08,9.348,2.559
Z420,33.47,13,102.15,0.87,29.57,78,76.7,20.1,9.253,2.526
Z421,21.82,7,116.86,0.92,29.4,79,73.7,20,9.393,2.621
Z422,25.85,9,96.11,0.95,32.67,78,74,19.14,9.238,2.839
Z423,24.15,8,111.25,0.94,29.87,78,75,20.52,9.364,2.585
Z424,20.26,7,116.86,0.96,26.57,72,79,20.88,8.944,2.402
Z425,26.84,8,149.25,0.84,28.28,72,77,21.26,9.069,2.572
Z426,29.16,11,119.64,0.9,26.85,80,75,20.34,9.444,2.283
Z427,25.31,9,102.44,0.94,36.53,97,93.7,23.1,10.298,2.758
Z428,26.71,10,109.1,0.95,26.57,71,72.3,21.4,8.62,2.504
Z429,28.78,13,93.85,0.96,25.47,78,75,21.64,8.397,2.526
Z430,34.31,13,124.08,0.81,28.75,81,74.3,20.12,9.035,2.502
Z431,38.07,12,135.08,0.88,28.48,82,79.7,22.38,9.216,2.667
Z432,27,9,110.22,0.96,29.33,72,84,18.98,8.88,2.631
Z433,36.38,14,122.21,0.87,26.05,81,79.3,21.52,8.896,2.327
Z434,48.49,17,124.35,0.93,25.4,77,77.7,21.02,8.295,2.504
Z435,44.99,12,138,0.96,29.28,92,95.7,21.92,8.404,2.827
Z436,32.75,9,165.11,0.8,28.82,87,86.3,23.08,9.281,2.553
Z437,42.55,11,132.73,0.95,32.08,98,105.3,25,8.844,2.909
Z438,45.2,11,149.55,0.91,32.4,89,101.3,24.1,9.91,2.611
Z439,39.09,12,134.08,0.93,27.23,78,76.7,21.68,9.067,2.467
Z440,47.82,11,146.55,0.94,33.03,89,101.7,23.06,9.783,2.678
Z441,52.56,13,144.31,0.93,31.68,88,96.7,24.42,9.869,2.524
Z442,32.88,12,114,0.85,29.95,78,78,21,9.378,2.621
Z443,25.82,8,157.38,0.83,26.53,82,71.7,19.36,8.685,2.537
Z444,40.51,10,172.9,0.83,29.63,92,103.7,26.06,9.211,2.673
Z445,40.76,17,95.88,0.9,29.73,82,71.3,18.96,8.372,2.931
Z446,48.34,15,144.8,0.82,28.52,82,83,21.18,8.918,2.475
Z447,21.24,8,139.75,0.8,25.1,74,69,21.22,8.937,2.407
Z448,51.5,12,182.83,0.92,26.7,73,82.7,21.72,8.876,2.507
Z449,40.98,13,121.85,0.94,28.98,72,77.7,20.82,9.01,2.574
Z450,31.63,8,145.38,0.94,30.72,90,97.3,21.48,9.477,2.589
Z451,25.56,8,121.88,0.92,29.77,77,76.7,21.48,9.418,2.561
Z452,29.13,10,156.7,0.78,25.5,95,92,18.96,7.83,2.685
Z453,36.3,9,145.89,0.94,30.53,94,96,23.48,9.489,2.647
Z454,24.93,6,168.5,0.89,29.67,95,100.7,23.18,9.33,2.646
Z455,19.12,7,116.86,0.92,26.52,81,73,21,9.19,2.457
Z456,31.8,13,104.85,0.83,28.38,79,83.3,20.08,9.202,2.641
Z458,23.96,9,95.67,0.92,32.17,100,90.7,20.72,9.777,2.854
Z459,27.68,9,113.89,0.9,31.33,101,90.7,22.74,9.713,2.822
Z460,34.7,15,107.47,0.81,28.02,84,78.7,21.26,9.254,2.503
Z461,21.93,8,111.75,0.84,29.92,71,76,19.02,9.222,2.614
Z462,20.39,8,102.63,0.9,28.38,83,81.3,21.16,9.242,2.544
Z463,16.12,6,127.67,0.74,28.95,72,73,19.94,9.198,2.581
Z464,21.94,8,112.5,0.93,26.3,72,80.7,20.5,8.576,2.535
Z465,35.29,10,132.4,0.92,30.12,97,98.3,24.36,8.353,2.969
Z466,21.62,7,111.57,0.95,30.42,71,71.7,18.4,9.319,2.599
Z467,20.89,7,111.57,0.93,29.23,69,75,20.08,8.801,2.602
Z468,20.06,9,125.33,0.57,31.25,80,73.3,22.08,9.713,2.519
Z469,22.28,7,142,0.86,27.57,83,83,22.9,8.942,2.543
Z470,38.83,12,110.08,0.93,33.25,81,90,20.1,9.468,2.71
Z471,25.14,7,128.29,0.94,29.92,78,82.7,19.88,9.104,2.585
Z472,33.24,11,109,0.95,29.83,79,84.7,18.02,9.35,2.491
Z473,29.82,8,126.13,0.94,32.67,90,86,24.76,9.492,2.731
Z474,50.44,15,137.4,0.94,27.03,72,81,21.18,9.112,2.528
Z475,28.82,7,158.14,0.95,28.93,79,76,23.22,9.23,2.508
Z476,29.17,9,138.67,0.9,28.05,79,79.7,20.5,9.011,2.573
Z477,30.21,8,165.75,0.78,30.62,84,78,21.6,9.542,2.597
Z478,34.34,9,151.33,0.94,28.22,70,82.3,19.64,8.824,2.545
Z479,31.82,8,126.13,0.94,34.1,93,91,21.92,9.8,2.699
Z480,29.62,7,162.29,0.93,29.2,97,93.7,24.12,8.164,2.946
Z481,35.43,11,124.73,0.94,28.8,100,89,25.1,9.502,2.624
Z482,38.97,14,103.93,0.91,31.2,69,76.7,20.58,9.245,2.514
Z483,27.75,9,162.22,0.72,27.92,70,80,19.48,8.807,2.441
Z484,27.14,7,167,0.88,28.63,83,84.7,24.06,9.428,2.484
Z485,31.93,7,165.57,0.92,31.07,89,92.7,24.86,9.447,2.579
Z486,32.94,9,122.67,0.92,34.43,92,90.7,23.72,9.811,2.669
Z487,28.28,12,101.42,0.81,31.95,100,103,21.14,9.836,2.687
Z488,35.7,11,124.91,0.91,29.3,72,85.3,22.42,8.999,2.538
Z489,45.4,16,126.38,0.87,27.52,73,74.3,19.72,8.469,2.574
Z490,37.4,13,120.69,0.85,29.23,70,76.7,20.94,9.502,2.453
Z491,25.75,9,129.44,0.83,27.88,85,75.7,21.22,8.738,2.559
Z492,34.55,12,108.75,0.92,29.57,101,101,23.6,8.758,2.665
Z493,30.69,10,140.5,0.84,27.25,82,75.3,22.42,9.067,2.504
Z494,40.26,17,126.24,0.74,27.02,81,71,22.52,9.134,2.3
Z496,32.17,14,85.93,0.93,30.87,82,78.3,18.92,8.815,2.941
Z497,37.12,12,131.92,0.91,27.22,78,82,22.46,9.149,2.48
Z498,88.04,20,154.65,0.91,33.05,91,97,23.14,9.139,2.755
Z499,44.23,10,162.7,0.96,29.72,82,78.7,22.42,8.883,2.607
Z500,33.56,10,103.1,0.94,35.72,91,96.7,24.88,10.09,2.678
Z501,40.45,12,190.92,0.87,31,80,79.3,22.76,9.229,2.698
Z502,34.3,13,91.15,0.96,30.75,87,85.7,20.28,9.023,2.737
Z503,48.04,13,147.77,0.94,27.73,82,86.7,23.12,9.465,2.545
Z504,34.27,10,145,0.94,26.42,76,83.3,23.16,9.067,2.47
Z505,55.27,13,141.54,0.94,32.92,90,95,24.62,10.273,2.609
Z506,38.26,9,216.33,0.91,27.63,94,98.3,20.44,8.843,2.534
Z507,34.58,10,150.1,0.94,25.92,93,96.3,18.68,8.49,2.514
Z508,37.95,10,147.8,0.93,29.8,95,99,24.66,9.318,2.598
Z509,39.42,9,177.44,0.86,30.65,89,99.3,26.68,9.799,2.589
Z510,25.62,8,130.5,0.86,29.68,77,75,21.76,9.225,2.685
Z511,25.96,7,145.71,0.86,32.5,79,81.7,22.9,10.187,2.505
Z512,22.77,5,170.8,0.89,31.17,99,98,21.87,8.423,2.949
Z513,23.87,8,105.38,0.96,30,87,93,20.82,8.09,2.957
Z514,37.92,10,116,0.98,33.5,89,92.7,19.58,9.309,2.691
Z515,42.88,12,121.5,0.96,32.07,88,97.7,21.32,9.714,2.631
Z516,39.08,11,121.73,0.94,32.25,91,97.3,21.72,9.047,2.76
Z517,40.17,11,146.82,0.89,29.82,88,93.3,21.02,9.1,2.65
Z518,36.71,12,138.25,0.79,30.27,90,96.3,19.62,9.143,2.731
Z519,44.46,11,145.73,0.92,30.55,93,100.7,23.5,8.251,2.868
Z520,45.52,10,165.4,0.92,31.8,91,100.7,24.42,9.598,2.617
Z521,51.71,14,189.21,0.91,23.3,87,89,21.02,8.636,2.363
Z522,24.95,7,144.14,0.82,30.85,89,100,20.78,8.938,2.641
Z523,29.73,9,132.11,0.81,31.78,90,97.7,21.7,9.091,2.644
Z524,45.21,13,137.85,0.85,31.25,83,91.3,23.2,9.402,2.649
Z525,44.79,12,152.5,0.92,27.1,95,97.7,21.28,7.772,2.747
Z526,62.14,14,175.86,0.85,31.7,91,89,23.16,9.044,2.769
Z527,30.16,13,118.54,0.68,31.05,96,98.3,22.82,9.35,2.665
Z528,52.55,11,184.64,0.95,28.7,90,93.3,21.98,7.937,2.758
Z529,47,15,147.73,0.76,29.58,98,113.3,23.24,8.662,2.82
Z530,43.64,14,110.07,0.96,31.75,87,90.7,19.52,9.38,2.633
Z531,40.79,9,168.56,0.95,29.58,94,105.7,25.66,8.223,2.95
Z532,38.78,11,160.18,0.81,28.67,80,86.3,21.6,9.043,2.534
Z533,36.66,10,151.9,0.88,29.42,97,100,21.44,8.969,2.597
Z534,25.72,12,86.08,0.93,27.53,72,79.7,18.52,7.054,3.249
Z535,49.33,13,129.77,0.96,31.65,81,82.7,22.24,9.393,2.681
Z536,23.45,11,110.55,0.83,25.02,73,78,19.4,7.129,2.976
Z537,31.65,8,167.13,0.76,33.1,84,91.3,20.5,8.647,2.912
Z538,36.98,10,116.9,0.97,33.73,87,91.7,20.34,9.478,2.746
Z539,47.04,12,183,0.91,24.7,92,92.7,17.8,8.385,2.506
Z540,47.34,11,181.55,0.93,32.97,83,86.7,21.22,9.118,2.807
Z541,40.13,9,158.89,0.97,29.55,85,83.7,22.08,8.366,2.831
Z542,42.38,11,126.55,0.97,31.77,88,92.3,20.04,9.498,2.675
Z543,39.88,9,164.33,0.92,31.02,87,91.3,21.02,8.968,2.68
Z544,38.52,11,175.36,0.8,27.22,94,96.3,18.42,8.475,2.624
Z545,35.75,10,147.5,0.96,27.12,70,74.7,19.24,9.155,2.414
Z546,21.39,11,90.45,0.8,28.27,62,74.7,21.52,7.399,3.063
Z547,25.42,12,95.08,0.93,24.38,75,82.3,19.64,6.954,2.938
Z548,41.27,8,258.75,0.81,25.83,88,100.7,21.82,8.268,2.741
Z549,31.92,9,198.33,0.87,21.83,88,86.3,18.8,8.104,2.426
Z550,62.11,19,148.53,0.84,26.57,88,78,22.66,7.964,2.835
Z551,50.27,13,154.62,0.89,30.9,81,100.3,23.16,9.774,2.551
Z552,31.54,12,116.33,0.75,31.02,89,91.3,19.9,9.012,2.646
Z553,27.3,10,126.9,0.8,28.45,81,77.3,22.88,9.4,2.453
Z554,22.45,10,127.7,0.57,31.72,94,91.7,19.54,9.312,2.66
Z555,22.37,8,113,0.92,27.73,88,91.3,19.16,8.925,2.637
Z556,32.85,8,138.88,0.87,35.98,89,98.7,21.82,9.567,2.849
Z557,40.17,11,165.82,0.77,31.12,95,107.7,21.6,9.173,2.637
Z558,34.65,8,163.5,0.88,32.45,90,94.3,20.92,9.758,2.67
Z559,38.37,11,110.45,0.94,36.42,90,93,22.72,9.473,2.861
Z560,36.04,11,162,0.89,29.68,81,79,22.36,9.185,2.559
Z561,27.92,9,127.78,0.83,30.4,99,99.7,22.14,8.616,2.922
Z562,28.1,8,168.63,0.72,30.93,100,104.3,23.7,10.067,2.675
Z563,40.73,12,140.58,0.87,30.1,87,87.3,20.32,9.067,2.677
Z564,27.01,8,139.38,0.84,30.58,88,84,19.54,9.064,2.635
Z565,26.4,9,102.78,0.94,31.02,75,81,20.78,9.479,2.502
Z566,31.71,8,137.88,0.93,32.28,90,85,21.7,9.212,2.772
Z567,36.43,10,123.8,0.91,33.47,99,104,24.22,9.854,2.701
Z568,17.06,6,140.5,0.76,27.78,88,80.7,18.56,9.401,2.618
Z569,28.65,11,101.73,0.91,29.02,76,73.7,19.88,8.378,2.764
Z570,30.81,13,97,0.91,27.27,72,72,19.9,8.916,2.473
Z571,22.81,10,128.1,0.56,33.77,87,95,24.72,9.748,2.774
Z572,45.1,10,171,0.94,29.48,82,86.3,23.62,9.106,2.592
Z573,29.29,9,146.22,0.85,27.83,74,76.7,21.76,9.155,2.488
Z574,47.73,15,117.8,0.93,30.35,78,75.7,22.66,9.206,2.592
Z575,40.44,12,119.42,0.95,30.4,78,80,21.88,9.697,2.57
Z576,52.5,12,174.42,0.89,31.12,92,100,23.42,9.403,2.698
Z578,56.02,16,126.63,0.91,32.07,73,85,20,9.237,2.66
Z579,25.43,10,111.4,0.81,29.88,73,73,20.08,8.909,2.657
Z580,31.92,10,135.7,0.92,26.48,82,88.7,21.26,8.257,2.6
Z581,32.81,8,165.5,0.96,26.62,82,83.3,25.4,8.402,2.585
Z582,33.13,12,106.58,0.88,31.08,84,77,21.7,9.008,2.661
Z583,23.58,7,151.43,0.86,26.38,100,103.3,22.18,8.669,3.018
Z584,35.03,10,143.6,0.91,28.07,73,76.7,20.52,8.25,2.87
Z585,28.16,9,113.78,0.9,32.03,80,72,19.88,9.259,2.71
Z586,18.77,8,91.88,0.82,32.68,80,76,19.26,9.114,2.853
Z587,27.6,10,105.9,0.91,29.18,81,67.7,20.72,9.007,2.581
Z588,29.32,11,125.91,0.78,28.87,75,75,20.04,9.476,2.495
Z589,38.17,11,137.73,0.87,30.9,96,93.3,21.74,9.484,2.695
Z590,30.23,8,160.88,0.85,28.55,72,74,22.04,8.928,2.538
Z591,26.13,9,119.67,0.9,27.83,79,81.3,21.68,8.401,2.81
Z592,30.71,10,145.8,0.84,25.45,84,80.3,21,8.193,2.653
Z593,32.37,11,126.73,0.89,27.02,85,82,24.08,8.557,2.65
Z594,38.35,12,112.67,0.95,31.23,78,79,21.5,9.732,2.541
Z595,30.17,10,120.9,0.96,27.15,88,87,22.6,8.685,2.586
Z596,35.47,12,134.75,0.91,25.82,83,83.3,22.44,8.51,2.637
Z597,31.59,10,166.8,0.75,26.48,83,84,21.12,8.987,2.477
Z598,35.53,10,166.7,0.9,24.87,83,75,22.24,8.745,2.408
Z599,28.05,9,156.67,0.9,24.68,82,73.3,21.88,8.917,2.405
Z600,51.22,13,136.38,0.95,32.9,80,92,26.42,9.72,2.654
